location,iso_code,date,total_vaccinations_x,people_vaccinated_x,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,Country,Status,Note,total_vaccinations_y,people_vaccinated_y,total_deaths,total_cases,new_cases,new_deaths,population_density,gdp_per_capita,handwashing_facilities,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
Albania,ALB,01/10/2021,0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
Albania,ALB,01/11/2021,,,,,64,,,,22.0,,,,,,,,,,,,,,,,
Albania,ALB,01/12/2021,128,128.0,,,64,0.0,0.0,,22.0,,,,,,,,,,,,,,,,
Albania,ALB,01/13/2021,188,188.0,,60.0,63,0.01,0.01,,22.0,Albania,Partially open,0,188.0,188.0,1256.0,65334.0,707.0,4.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/14/2021,266,266.0,,78.0,66,0.01,0.01,,23.0,Albania,Partially open,0,266.0,266.0,1261.0,65994.0,660.0,5.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/15/2021,308,308.0,,42.0,62,0.01,0.01,,22.0,Albania,Partially open,0,308.0,308.0,1265.0,66635.0,641.0,4.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/16/2021,369,369.0,,61.0,62,0.01,0.01,,22.0,Albania,Partially open,0,369.0,369.0,1270.0,67216.0,581.0,5.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/17/2021,405,405.0,,36.0,58,0.01,0.01,,20.0,Albania,Partially open,0,405.0,405.0,1277.0,67690.0,474.0,7.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/18/2021,447,447.0,,42.0,55,0.02,0.02,,19.0,Albania,Partially open,0,447.0,447.0,1281.0,67982.0,292.0,4.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/19/2021,483,483.0,,36.0,51,0.02,0.02,,18.0,Albania,Partially open,0,483.0,483.0,1287.0,68568.0,586.0,6.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/20/2021,519,519.0,,36.0,47,0.02,0.02,,16.0,Albania,Partially open,0,519.0,519.0,1291.0,69238.0,670.0,4.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/21/2021,549,549.0,,30.0,40,0.02,0.02,,14.0,Albania,Partially open,0,549.0,549.0,1296.0,69916.0,678.0,5.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/22/2021,,,,,34,,,,12.0,Albania,Partially open,0,0.0,0.0,1303.0,70655.0,739.0,7.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
Albania,ALB,01/23/2021,,,,,26,,,,9.0,Albania,Partially open,0,0.0,0.0,1310.0,71441.0,786.0,7.0,104.871,11803.431,0.0,10.08,2.89,78.57,0.795
