location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Albania,ALB,01/10/2021,0,0.0,,,,0.0,0.0,,
Albania,ALB,01/11/2021,,,,,64,,,,22.0
Albania,ALB,01/12/2021,128,128.0,,,64,0.0,0.0,,22.0
Albania,ALB,01/13/2021,188,188.0,,60.0,63,0.01,0.01,,22.0
Albania,ALB,01/14/2021,266,266.0,,78.0,66,0.01,0.01,,23.0
Albania,ALB,01/15/2021,308,308.0,,42.0,62,0.01,0.01,,22.0
Albania,ALB,01/16/2021,369,369.0,,61.0,62,0.01,0.01,,22.0
Albania,ALB,01/17/2021,405,405.0,,36.0,58,0.01,0.01,,20.0
Albania,ALB,01/18/2021,447,447.0,,42.0,55,0.02,0.02,,19.0
Albania,ALB,01/19/2021,483,483.0,,36.0,51,0.02,0.02,,18.0
Albania,ALB,01/20/2021,519,519.0,,36.0,47,0.02,0.02,,16.0
Albania,ALB,01/21/2021,549,549.0,,30.0,40,0.02,0.02,,14.0
Albania,ALB,01/22/2021,,,,,34,,,,12.0
Albania,ALB,01/23/2021,,,,,26,,,,9.0
Albania,ALB,01/24/2021,,,,,21,,,,7.0
Albania,ALB,01/25/2021,,,,,15,,,,5.0
Albania,ALB,01/26/2021,,,,,9,,,,3.0
Albania,ALB,01/27/2021,,,,,4,,,,1.0
Albania,ALB,01/28/2021,,,,,,,,,
Albania,ALB,01/29/2021,,,,,,,,,
Albania,ALB,01/30/2021,,,,,,,,,
Albania,ALB,01/31/2021,,,,,,,,,
Albania,ALB,02/01/2021,,,,,,,,,
Albania,ALB,02/02/2021,550,549.0,1.0,,,0.02,0.02,0.0,
Albania,ALB,02/03/2021,,,,,12,,,,4.0
Albania,ALB,02/04/2021,,,,,24,,,,8.0
Albania,ALB,02/05/2021,,,,,35,,,,12.0
Albania,ALB,02/06/2021,,,,,47,,,,16.0
Albania,ALB,02/07/2021,,,,,59,,,,21.0
Albania,ALB,02/08/2021,,,,,71,,,,25.0
Albania,ALB,02/09/2021,1127,689.0,438.0,,82,0.04,0.02,0.02,28.0
Albania,ALB,02/10/2021,,,,,81,,,,28.0
Albania,ALB,02/11/2021,,,,,79,,,,27.0
Albania,ALB,02/12/2021,,,,,78,,,,27.0
Albania,ALB,02/13/2021,,,,,76,,,,26.0
Albania,ALB,02/14/2021,,,,,75,,,,26.0
Albania,ALB,02/15/2021,,,,,73,,,,25.0
Albania,ALB,02/16/2021,,,,,72,,,,25.0
Albania,ALB,02/17/2021,1701,1090.0,611.0,,72,0.06,0.04,0.02,25.0
Albania,ALB,02/18/2021,3049,2438.0,611.0,1348.0,254,0.11,0.08,0.02,88.0
Albania,ALB,02/19/2021,4177,,,1128.0,405,0.15,,,141.0
Algeria,DZA,01/29/2021,0,,,,,0.0,,,
Algeria,DZA,01/30/2021,30,,,30.0,30,0.0,,,1.0
Algeria,DZA,01/31/2021,,,,,1889,,,,43.0
Algeria,DZA,02/01/2021,,,,,2509,,,,57.0
