iso_code,total_cases,new_cases,total_deaths,human_development_index,Status
AFG,34.0,4.0,1.0,0.511,Closed due to COVID-19
AFG,41.0,7.0,1.0,0.511,Closed due to COVID-19
AFG,43.0,2.0,1.0,0.511,Closed due to COVID-19
AFG,76.0,33.0,2.0,0.511,Closed due to COVID-19
AFG,80.0,4.0,3.0,0.511,Closed due to COVID-19
AFG,91.0,11.0,3.0,0.511,Closed due to COVID-19
AFG,107.0,16.0,4.0,0.511,Closed due to COVID-19
AFG,118.0,11.0,4.0,0.511,Closed due to COVID-19
AFG,146.0,28.0,4.0,0.511,Closed due to COVID-19
AFG,175.0,29.0,4.0,0.511,Closed due to COVID-19
AFG,275.0,35.0,8.0,0.511,Partially open
AFG,300.0,25.0,10.0,0.511,Closed due to COVID-19
AFG,338.0,38.0,12.0,0.511,Closed due to COVID-19
AFG,368.0,30.0,15.0,0.511,Closed due to COVID-19
AFG,424.0,56.0,16.0,0.511,Closed due to COVID-19
AFG,445.0,21.0,16.0,0.511,Closed due to COVID-19
AFG,485.0,40.0,17.0,0.511,Partially open
AFG,532.0,47.0,18.0,0.511,Fully open
AFG,556.0,24.0,18.0,0.511,Fully open
AFG,608.0,52.0,19.0,0.511,Fully open
AFG,666.0,58.0,22.0,0.511,Closed due to COVID-19
AFG,715.0,49.0,23.0,0.511,Closed due to COVID-19
AFG,785.0,70.0,29.0,0.511,Closed due to COVID-19
AFG,841.0,56.0,30.0,0.511,Closed due to COVID-19
AFG,907.0,66.0,30.0,0.511,Closed due to COVID-19
AFG,934.0,27.0,30.0,0.511,Closed due to COVID-19
AFG,997.0,63.0,33.0,0.511,Closed due to COVID-19
AFG,1027.0,30.0,36.0,0.511,Closed due to COVID-19
AFG,1093.0,66.0,36.0,0.511,Closed due to COVID-19
AFG,1177.0,84.0,40.0,0.511,Closed due to COVID-19
AFG,1236.0,59.0,40.0,0.511,Closed due to COVID-19
AFG,1331.0,95.0,43.0,0.511,Closed due to COVID-19
AFG,1464.0,133.0,47.0,0.511,Closed due to COVID-19
AFG,1532.0,68.0,52.0,0.511,Closed due to COVID-19
AFG,1704.0,172.0,58.0,0.511,Closed due to COVID-19
AFG,1830.0,126.0,59.0,0.511,Closed due to COVID-19
AFG,1940.0,110.0,61.0,0.511,Closed due to COVID-19
AFG,2127.0,187.0,64.0,0.511,Closed due to COVID-19
AFG,2705.0,235.0,85.0,0.511,Partially open
AFG,2895.0,190.0,90.0,0.511,Closed due to COVID-19
AFG,3225.0,330.0,95.0,0.511,Closed due to COVID-19
AFG,3393.0,168.0,104.0,0.511,Closed due to COVID-19
AFG,3564.0,171.0,106.0,0.511,Closed due to COVID-19
AFG,3781.0,217.0,109.0,0.511,Closed due to COVID-19
AFG,4042.0,261.0,115.0,0.511,Partially open
AFG,4403.0,361.0,120.0,0.511,Fully open
AFG,4687.0,284.0,122.0,0.511,Fully open
AFG,4968.0,281.0,127.0,0.511,Fully open
AFG,5227.0,259.0,132.0,0.511,Closed due to COVID-19
AFG,5640.0,413.0,136.0,0.511,Closed due to COVID-19
AFG,6054.0,414.0,153.0,0.511,Closed due to COVID-19
AFG,6403.0,349.0,168.0,0.511,Closed due to COVID-19
AFG,6665.0,262.0,170.0,0.511,Closed due to COVID-19
AFG,7073.0,408.0,173.0,0.511,Closed due to COVID-19
AFG,7654.0,581.0,178.0,0.511,Closed due to COVID-19
AFG,8146.0,492.0,188.0,0.511,Closed due to COVID-19
AFG,8677.0,531.0,194.0,0.511,Closed due to COVID-19
AFG,9219.0,542.0,206.0,0.511,Closed due to COVID-19
AFG,10001.0,782.0,217.0,0.511,Closed due to COVID-19
AFG,10585.0,584.0,219.0,0.511,Closed due to COVID-19
AFG,11176.0,591.0,220.0,0.511,Closed due to COVID-19
AFG,11834.0,658.0,221.0,0.511,Closed due to COVID-19
AFG,12459.0,625.0,228.0,0.511,Closed due to COVID-19
AFG,13039.0,580.0,236.0,0.511,Closed due to COVID-19
AFG,13662.0,623.0,247.0,0.511,Closed due to COVID-19
AFG,14528.0,866.0,250.0,0.511,Closed due to COVID-19
AFG,15208.0,680.0,258.0,0.511,Closed due to COVID-19
AFG,17270.0,758.0,298.0,0.511,Partially open
AFG,18057.0,787.0,304.0,0.511,Closed due to COVID-19
AFG,18972.0,915.0,313.0,0.511,Closed due to COVID-19
AFG,19554.0,582.0,331.0,0.511,Closed due to COVID-19
AFG,20345.0,791.0,361.0,0.511,Closed due to COVID-19
AFG,20920.0,575.0,373.0,0.511,Closed due to COVID-19
AFG,21462.0,542.0,388.0,0.511,Partially open
AFG,22146.0,684.0,409.0,0.511,Fully open
AFG,22894.0,748.0,430.0,0.511,Fully open
AFG,23550.0,656.0,450.0,0.511,Fully open
AFG,24106.0,556.0,455.0,0.511,Closed due to COVID-19
AFG,24770.0,664.0,475.0,0.511,Closed due to COVID-19
AFG,25531.0,761.0,482.0,0.511,Closed due to COVID-19
AFG,26314.0,783.0,495.0,0.511,Closed due to COVID-19
AFG,26878.0,564.0,508.0,0.511,Closed due to COVID-19
AFG,27536.0,658.0,550.0,0.511,Closed due to COVID-19
AFG,27882.0,346.0,552.0,0.511,Closed due to COVID-19
AFG,28428.0,546.0,573.0,0.511,Closed due to COVID-19
AFG,28837.0,409.0,585.0,0.511,Closed due to COVID-19
AFG,29147.0,310.0,597.0,0.511,Closed due to COVID-19
AFG,29471.0,324.0,617.0,0.511,Closed due to COVID-19
AFG,29705.0,234.0,638.0,0.511,Closed due to COVID-19
AFG,30165.0,460.0,674.0,0.511,Closed due to COVID-19
AFG,30441.0,276.0,682.0,0.511,Closed due to COVID-19
AFG,30606.0,165.0,716.0,0.511,Closed due to COVID-19
AFG,30957.0,351.0,728.0,0.511,Closed due to COVID-19
AFG,31228.0,271.0,740.0,0.511,Closed due to COVID-19
AFG,31507.0,279.0,752.0,0.511,Closed due to COVID-19
AFG,32314.0,302.0,821.0,0.511,Partially open
AFG,32662.0,348.0,828.0,0.511,Closed due to COVID-19
AFG,32941.0,279.0,866.0,0.511,Closed due to COVID-19
AFG,33180.0,239.0,900.0,0.511,Closed due to COVID-19
AFG,33374.0,194.0,922.0,0.511,Closed due to COVID-19
AFG,33584.0,210.0,939.0,0.511,Closed due to COVID-19
AFG,33898.0,314.0,959.0,0.511,Partially open
AFG,34184.0,286.0,973.0,0.511,Fully open
AFG,34356.0,172.0,996.0,0.511,Fully open
AFG,34441.0,85.0,1012.0,0.511,Fully open
AFG,34595.0,154.0,1040.0,0.511,Closed due to COVID-19
AFG,34730.0,135.0,1064.0,0.511,Closed due to COVID-19
AFG,34984.0,254.0,1096.0,0.511,Closed due to COVID-19
AFG,35060.0,76.0,1117.0,0.511,Closed due to COVID-19
AFG,35219.0,159.0,1149.0,0.511,Closed due to COVID-19
AFG,35279.0,60.0,1166.0,0.511,Closed due to COVID-19
AFG,35453.0,174.0,1183.0,0.511,Closed due to COVID-19
AFG,35493.0,40.0,1185.0,0.511,Closed due to COVID-19
AFG,35605.0,112.0,1188.0,0.511,Closed due to COVID-19
AFG,35717.0,112.0,1192.0,0.511,Closed due to COVID-19
AFG,35918.0,201.0,1213.0,0.511,Closed due to COVID-19
AFG,35978.0,60.0,1227.0,0.511,Closed due to COVID-19
AFG,36026.0,48.0,1249.0,0.511,Closed due to COVID-19
AFG,36147.0,121.0,1261.0,0.511,Closed due to COVID-19
AFG,36253.0,106.0,1271.0,0.511,Closed due to COVID-19
AFG,36358.0,105.0,1272.0,0.511,Closed due to COVID-19
AFG,36463.0,105.0,1273.0,0.511,Closed due to COVID-19
AFG,36532.0,69.0,1283.0,0.511,Closed due to COVID-19
AFG,36665.0,133.0,1284.0,0.511,Closed due to COVID-19
AFG,36737.0,36.0,1290.0,0.511,Partially open
AFG,36773.0,36.0,1290.0,0.511,Closed due to COVID-19
AFG,36820.0,47.0,1296.0,0.511,Closed due to COVID-19
AFG,36928.0,108.0,1301.0,0.511,Closed due to COVID-19
AFG,37006.0,78.0,1310.0,0.511,Closed due to COVID-19
AFG,37046.0,40.0,1315.0,0.511,Closed due to COVID-19
AFG,37083.0,37.0,1321.0,0.511,Partially open
AFG,37153.0,70.0,1329.0,0.511,Fully open
AFG,37260.0,107.0,1346.0,0.511,Fully open
AFG,37336.0,76.0,1356.0,0.511,Fully open
AFG,37422.0,86.0,1365.0,0.511,Closed due to COVID-19
AFG,37497.0,75.0,1370.0,0.511,Closed due to COVID-19
AFG,37542.0,45.0,1371.0,0.511,Closed due to COVID-19
AFG,37590.0,48.0,1376.0,0.511,Closed due to COVID-19
AFG,37667.0,77.0,1378.0,0.511,Closed due to COVID-19
AFG,37710.0,43.0,1382.0,0.511,Closed due to COVID-19
AFG,37750.0,40.0,1384.0,0.511,Closed due to COVID-19
AFG,37852.0,102.0,1386.0,0.511,Closed due to COVID-19
AFG,37885.0,33.0,1386.0,0.511,Closed due to COVID-19
AFG,37944.0,59.0,1386.0,0.511,Partially open
AFG,37990.0,46.0,1388.0,0.511,Partially open
AFG,38045.0,55.0,1390.0,0.511,Partially open
AFG,38061.0,16.0,1398.0,0.511,Partially open
AFG,38103.0,42.0,1402.0,0.511,Partially open
AFG,38119.0,16.0,1402.0,0.511,Partially open
AFG,38130.0,11.0,1403.0,0.511,Partially open
AFG,38133.0,3.0,1403.0,0.511,Partially open
AFG,38155.0,22.0,1403.0,0.511,Partially open
AFG,38159.0,4.0,1403.0,0.511,Partially open
AFG,38288.0,45.0,1410.0,0.511,Partially open
AFG,38304.0,16.0,1410.0,0.511,Closed due to COVID-19
AFG,38324.0,20.0,1410.0,0.511,Closed due to COVID-19
AFG,38398.0,74.0,1413.0,0.511,Closed due to COVID-19
AFG,38494.0,96.0,1416.0,0.511,Closed due to COVID-19
AFG,38520.0,26.0,1419.0,0.511,Closed due to COVID-19
AFG,38544.0,24.0,1421.0,0.511,Partially open
AFG,38572.0,28.0,1421.0,0.511,Fully open
AFG,38606.0,34.0,1421.0,0.511,Fully open
AFG,38641.0,35.0,1421.0,0.511,Fully open
AFG,38716.0,75.0,1421.0,0.511,Partially open
AFG,38772.0,56.0,1427.0,0.511,Partially open
