total_cases,new_cases,total_deaths,human_development_index,Status_counts_Academic break,Status_counts_Closed due to COVID-19,Status_counts_Fully open,Status_counts_Partially open
34.0,4.0,1.0,0.511,0.0,1.0,0.0,0.0
41.0,7.0,1.0,0.511,0.0,1.0,0.0,0.0
43.0,2.0,1.0,0.511,0.0,1.0,0.0,0.0
76.0,33.0,2.0,0.511,0.0,1.0,0.0,0.0
80.0,4.0,3.0,0.511,0.0,1.0,0.0,0.0
91.0,11.0,3.0,0.511,0.0,1.0,0.0,0.0
107.0,16.0,4.0,0.511,0.0,1.0,0.0,0.0
118.0,11.0,4.0,0.511,0.0,1.0,0.0,0.0
146.0,28.0,4.0,0.511,0.0,1.0,0.0,0.0
175.0,29.0,4.0,0.511,0.0,1.0,0.0,0.0
275.0,35.0,8.0,0.511,0.0,1.0,0.0,0.0
300.0,25.0,10.0,0.511,0.0,1.0,0.0,0.0
338.0,38.0,12.0,0.511,0.0,1.0,0.0,0.0
368.0,30.0,15.0,0.511,0.0,1.0,0.0,0.0
424.0,56.0,16.0,0.511,0.0,1.0,0.0,0.0
445.0,21.0,16.0,0.511,0.0,0.0,0.0,1.0
485.0,40.0,17.0,0.511,0.0,0.0,1.0,0.0
532.0,47.0,18.0,0.511,0.0,0.0,1.0,0.0
556.0,24.0,18.0,0.511,0.0,0.0,1.0,0.0
608.0,52.0,19.0,0.511,0.0,1.0,0.0,0.0
666.0,58.0,22.0,0.511,0.0,1.0,0.0,0.0
715.0,49.0,23.0,0.511,0.0,1.0,0.0,0.0
785.0,70.0,29.0,0.511,0.0,1.0,0.0,0.0
841.0,56.0,30.0,0.511,0.0,1.0,0.0,0.0
907.0,66.0,30.0,0.511,0.0,1.0,0.0,0.0
934.0,27.0,30.0,0.511,0.0,1.0,0.0,0.0
997.0,63.0,33.0,0.511,0.0,1.0,0.0,0.0
1027.0,30.0,36.0,0.511,0.0,1.0,0.0,0.0
1093.0,66.0,36.0,0.511,0.0,1.0,0.0,0.0
1177.0,84.0,40.0,0.511,0.0,1.0,0.0,0.0
1236.0,59.0,40.0,0.511,0.0,1.0,0.0,0.0
1331.0,95.0,43.0,0.511,0.0,1.0,0.0,0.0
1464.0,133.0,47.0,0.511,0.0,1.0,0.0,0.0
1532.0,68.0,52.0,0.511,0.0,1.0,0.0,0.0
1704.0,172.0,58.0,0.511,0.0,1.0,0.0,0.0
1830.0,126.0,59.0,0.511,0.0,1.0,0.0,0.0
1940.0,110.0,61.0,0.511,0.0,1.0,0.0,0.0
2127.0,187.0,64.0,0.511,0.0,1.0,0.0,0.0
2705.0,235.0,85.0,0.511,0.0,1.0,0.0,0.0
2895.0,190.0,90.0,0.511,0.0,1.0,0.0,0.0
3225.0,330.0,95.0,0.511,0.0,1.0,0.0,0.0
3393.0,168.0,104.0,0.511,0.0,1.0,0.0,0.0
3564.0,171.0,106.0,0.511,0.0,0.0,0.0,1.0
3781.0,217.0,109.0,0.511,0.0,0.0,1.0,0.0
4042.0,261.0,115.0,0.511,0.0,0.0,1.0,0.0
4403.0,361.0,120.0,0.511,0.0,0.0,1.0,0.0
4687.0,284.0,122.0,0.511,0.0,1.0,0.0,0.0
4968.0,281.0,127.0,0.511,0.0,1.0,0.0,0.0
5227.0,259.0,132.0,0.511,0.0,1.0,0.0,0.0
5640.0,413.0,136.0,0.511,0.0,1.0,0.0,0.0
6054.0,414.0,153.0,0.511,0.0,1.0,0.0,0.0
6403.0,349.0,168.0,0.511,0.0,1.0,0.0,0.0
6665.0,262.0,170.0,0.511,0.0,1.0,0.0,0.0
7073.0,408.0,173.0,0.511,0.0,1.0,0.0,0.0
7654.0,581.0,178.0,0.511,0.0,1.0,0.0,0.0
8146.0,492.0,188.0,0.511,0.0,1.0,0.0,0.0
8677.0,531.0,194.0,0.511,0.0,1.0,0.0,0.0
9219.0,542.0,206.0,0.511,0.0,1.0,0.0,0.0
10001.0,782.0,217.0,0.511,0.0,1.0,0.0,0.0
10585.0,584.0,219.0,0.511,0.0,1.0,0.0,0.0
11176.0,591.0,220.0,0.511,0.0,1.0,0.0,0.0
11834.0,658.0,221.0,0.511,0.0,1.0,0.0,0.0
12459.0,625.0,228.0,0.511,0.0,1.0,0.0,0.0
13039.0,580.0,236.0,0.511,0.0,1.0,0.0,0.0
13662.0,623.0,247.0,0.511,0.0,0.0,0.0,1.0
14528.0,866.0,250.0,0.511,0.0,1.0,0.0,0.0
15208.0,680.0,258.0,0.511,0.0,1.0,0.0,0.0
17270.0,758.0,298.0,0.511,0.0,1.0,0.0,0.0
18057.0,787.0,304.0,0.511,0.0,0.0,0.0,1.0
18972.0,915.0,313.0,0.511,0.0,0.0,1.0,0.0
19554.0,582.0,331.0,0.511,0.0,0.0,1.0,0.0
20345.0,791.0,361.0,0.511,0.0,0.0,1.0,0.0
20920.0,575.0,373.0,0.511,0.0,1.0,0.0,0.0
21462.0,542.0,388.0,0.511,0.0,1.0,0.0,0.0
22146.0,684.0,409.0,0.511,0.0,1.0,0.0,0.0
22894.0,748.0,430.0,0.511,0.0,1.0,0.0,0.0
23550.0,656.0,450.0,0.511,0.0,1.0,0.0,0.0
24106.0,556.0,455.0,0.511,0.0,1.0,0.0,0.0
24770.0,664.0,475.0,0.511,0.0,1.0,0.0,0.0
25531.0,761.0,482.0,0.511,0.0,1.0,0.0,0.0
26314.0,783.0,495.0,0.511,0.0,1.0,0.0,0.0
26878.0,564.0,508.0,0.511,0.0,1.0,0.0,0.0
27536.0,658.0,550.0,0.511,0.0,1.0,0.0,0.0
27882.0,346.0,552.0,0.511,0.0,1.0,0.0,0.0
28428.0,546.0,573.0,0.511,0.0,1.0,0.0,0.0
28837.0,409.0,585.0,0.511,0.0,1.0,0.0,0.0
29147.0,310.0,597.0,0.511,0.0,1.0,0.0,0.0
29471.0,324.0,617.0,0.511,0.0,1.0,0.0,0.0
29705.0,234.0,638.0,0.511,0.0,1.0,0.0,0.0
30165.0,460.0,674.0,0.511,0.0,1.0,0.0,0.0
30441.0,276.0,682.0,0.511,0.0,1.0,0.0,0.0
30606.0,165.0,716.0,0.511,0.0,0.0,0.0,1.0
30957.0,351.0,728.0,0.511,0.0,1.0,0.0,0.0
31228.0,271.0,740.0,0.511,0.0,1.0,0.0,0.0
